date,shibuya,shinjyuku,marunouchi,shinagawa,shimokitazawa,hachiouji,osaka,sapporo,sendai,fukuoka
2020/8/23,1,1,1,1,1,1,0,1,1,0
2020/8/24,2,2,2,2,2,2,1,1,1,0
2020/8/25,2,2,2,2,2,2,1,1,1,2
2020/8/26,2,2,2,2,2,2,1,-1,0,2
2020/8/27,0,0,0,0,0,1,0,0,0,0
2020/8/28,1,1,1,1,1,1,1,0,1,0
2020/8/29,1,1,1,1,1,1,0,-1,1,1
2020/8/30,1,1,1,1,1,1,1,-1,1,0
2020/8/31,0,0,0,0,0,0,1,-1,1,0
2020/9/1,2,2,2,2,2,2,1,0,0,1
2020/9/2,2,2,2,2,2,2,1,0,1,1
2020/9/3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
2020/9/4,1,1,1,1,1,1,0,1,1,-1
2020/9/5,1,1,1,1,1,1,1,0,0,0
2020/9/6,2,2,2,2,2,2,1,0,1,0
2020/9/7,1,1,1,1,1,1,1,0,0,0
2020/9/8,1,1,1,1,1,1,0,-1,0,0
2020/9/9,1,1,1,1,1,1,1,0,1,-1
2020/9/10,0,0,0,0,0,0,0,0,0,0
2020/9/11,1,1,1,1,1,1,1,0,0,1
2020/9/12,1,1,1,1,1,1,1,0,2,1
2020/9/13,1,1,1,1,1,2,1,0,1,0
2020/9/14,2,2,2,2,2,2,1,0,0,0
2020/9/15,2,2,2,2,2,2,0,-1,-1,0
2020/9/16,-1,-1,-1,-1,-1,0,0,-1,-1,1
2020/9/17,-1,-1,-1,-1,-1,0,-1,-1,0,-2
2020/9/18,0,0,0,0,0,0,0,-1,1,1
2020/9/19,1,1,1,1,1,1,-1,1,1,0
2020/9/20,1,1,1,1,1,1,1,-1,0,1
2020/9/21,1,1,1,1,1,1,1,0,0,1
2020/9/22,-1,-1,-1,-1,-1,-1,-1,1,1,-1
2020/9/23,1,1,1,1,1,1,1,0,1,0
2020/9/24,2,2,2,2,2,2,1,1,1,0
2020/9/25,2,2,2,2,2,2,1,1,0,1
2020/9/26,2,2,2,2,2,1,1,-1,0,1
2020/9/27,1,1,1,1,1,1,1,0,0,1
2020/9/28,1,1,1,1,1,1,1,-1,0,1
2020/9/29,2,2,2,2,2,2,1,0,-1,0
2020/9/30,1,1,1,1,1,1,0,-1,-1,1
2020/10/1,1,1,1,1,1,1,1,-1,0,1
2020/10/2,1,1,1,1,1,1,1,-1,0,1
2020/10/3,1,1,1,1,1,1,1,-1,0,0
2020/10/4,1,1,1,1,1,1,1,0,0,1
2020/10/5,1,1,1,1,1,1,1,0,0,0
2020/10/6,0,0,0,0,0,0,1,0,1,1
2020/10/7,1,1,1,1,1,1,1,0,1,1
2020/10/8,1,1,1,1,1,1,1,0,1,1
2020/10/9,2,2,2,2,2,2,2,0,0,1
2020/10/10,1,1,1,1,1,1,2,0,1,2
2020/10/11,0,0,0,0,0,0,2,1,0,2
2020/10/12,1,1,1,1,1,1,1,1,2,1
2020/10/13,1,1,1,1,1,1,1,0,0,1
2020/10/14,-1,-1,-1,-1,-1,0,2,0,0,0
2020/10/15,1,1,1,1,1,1,1,-1,1,2
2020/10/16,2,2,2,2,2,1,1,0,0,1
2020/10/17,1,1,1,1,1,1,2,-1,1,1
2020/10/18,1,1,1,1,1,1,1,-1,0,1
2020/10/19,1,1,1,1,1,1,1,1,-1,0
2020/10/20,0,0,0,0,0,1,1,0,1,1
2020/10/21,0,0,0,0,0,1,1,0,0,0
2020/10/22,-1,-1,-1,-1,-1,-1,2,1,1,1
2020/10/23,1,1,1,1,1,1,1,0,1,1
2020/10/24,1,1,1,1,1,2,0,-1,1,0
2020/10/25,2,2,2,2,2,2,1,0,1,1
2020/10/26,-1,-1,-1,-1,-1,-1,-2,0,-1,1
2020/10/27,0,0,0,0,0,1,-1,-1,0,-2
2020/10/28,1,1,1,1,1,1,1,0,1,1
2020/10/29,1,1,1,1,1,1,1,1,2,0
2020/10/30,2,2,2,2,2,2,1,0,2,1
2020/10/31,1,1,1,1,1,1,1,0,1,0
2020/11/1,2,2,2,2,2,2,2,1,2,2
2020/11/2,1,1,1,1,1,1,1,0,2,2
2020/11/3,2,2,2,2,2,2,2,2,2,2
2020/11/4,1,1,1,1,1,1,2,-1,1,2
2020/11/5,1,1,1,1,1,1,1,-1,0,1
2020/11/6,1,1,1,1,1,1,1,-2,-1,1
2020/11/7,1,1,1,1,1,1,1,-1,1,2
2020/11/8,0,0,0,0,0,0,-1,0,0,0
2020/11/9,1,1,1,1,1,1,0,1,1,0
2020/11/10,1,1,1,1,1,2,1,1,1,1
2020/11/11,1,1,1,1,1,1,1,0,0,2
2020/11/12,0,0,0,0,0,0,1,0,0,1
2020/11/13,-2,-2,-2,-2,-2,-2,-2,0,-1,0
2020/11/14,0,0,0,0,0,1,1,0,0,-1
2020/11/15,2,2,2,2,2,2,1,0,1,1
2020/11/16,1,1,1,1,1,1,1,0,0,1
2020/11/17,1,1,1,1,1,1,1,-1,0,1
2020/11/18,1,1,1,1,1,1,1,-1,1,1
2020/11/19,1,1,1,1,1,0,1,0,1,1
2020/11/20,1,1,1,1,1,1,1,0,1,1
2020/11/21,1,1,1,1,1,1,1,-1,0,1
2020/11/22,1,1,1,1,1,1,1,-1,0,2
2020/11/23,-1,-1,-1,-1,-1,-1,-1,-1,-2,1
2020/11/24,1,1,1,1,1,0,-2,-1,0,-1
2020/11/25,1,1,1,1,1,1,1,1,0,-2
2020/11/26,1,1,1,1,1,1,1,1,2,2
2020/11/27,0,0,0,0,0,0,1,2,1,1
2020/11/28,1,1,1,1,1,1,1,0,1,1
2020/11/29,-2,-2,-2,-2,-2,-1,-2,2,1,1
2020/11/30,0,0,0,0,0,1,0,-1,1,1
2020/12/1,-1,-1,-1,-1,-1,-1,2,-1,1,1
2020/12/2,1,1,1,1,1,1,2,0,1,0
2020/12/3,1,1,1,1,1,1,1,0,1,2
2020/12/4,0,0,0,0,0,0,2,-2,0,0
2020/12/5,0,0,0,0,0,-1,0,1,-1,0
2020/12/6,-2,-2,-2,-2,-2,-2,-1,1,-2,0
2020/12/7,-2,-2,-2,-2,-2,-2,-2,1,1,1
2020/12/8,-2,-2,-2,-2,-2,-2,-2,0,-1,1
2020/12/9,-2,-2,-2,-2,-2,-2,-2,0,1,2
2020/12/10,1,1,1,1,1,1,1,-1,1,2
2020/12/11,1,1,1,1,1,1,1,-1,1,1
2020/12/12,1,1,1,1,1,1,0,-1,0,0
2020/12/13,1,1,1,1,1,1,1,-1,1,1
2020/12/14,2,2,2,2,2,1,1,0,1,1
2020/12/15,0,0,0,0,0,0,0,0,0,2
2020/12/16,1,1,1,1,1,0,0,1,1,1
2020/12/17,1,1,1,1,1,1,1,1,1,1
2020/12/18,1,1,1,1,1,1,1,0,1,1
2020/12/19,0,0,0,0,0,1,1,0,0,0
2020/12/20,0,0,0,0,0,0,1,0,1,0
2020/12/21,0,0,0,0,0,0,-2,-1,-2,0
2020/12/22,-2,-2,-2,-2,-2,-2,0,1,-2,-1
2020/12/23,-2,-2,-2,-2,-2,-2,-2,1,-1,1
2020/12/24,0,0,0,0,0,-1,1,1,0,1
2020/12/25,1,1,1,1,1,0,1,0,0,1
2020/12/26,0,0,0,0,0,0,0,0,1,1
2020/12/27,1,1,1,1,1,0,0,0,1,1
2020/12/28,1,1,1,1,1,1,-2,-1,0,-2
2020/12/29,0,0,0,0,0,0,0,-1,0,-2
2020/12/30,1,1,1,1,1,0,0,0,-1,-1
2020/12/31,1,1,1,1,1,0,1,-1,0,1
2021/1/1,-2,-2,-2,-2,-2,0,1,-1,-1,1
2021/1/2,1,1,1,1,1,1,-1,-2,-2,0
2021/1/3,-2,-2,-2,-2,-2,-2,1,0,-2,0
2021/1/4,1,1,1,1,1,1,-2,0,-2,-1
2021/1/5,1,1,1,1,1,1,0,-2,-2,1
2021/1/6,0,0,0,0,0,0,-1,0,0,-1
2021/1/7,0,0,0,0,0,0,2,2,1,1
2021/1/8,-1,-1,-1,-1,-1,-2,-2,1,1,0
2021/1/9,-2,-2,-2,-2,-2,-1,-2,1,0,-2
2021/1/10,-2,-2,-2,-2,-2,-2,0,0,-2,-2
2021/1/11,1,1,1,1,1,1,0,0,-1,1
2021/1/12,1,1,1,1,1,0,-2,1,0,-1
2021/1/13,-1,-1,-1,-1,-1,0,-2,1,-1,-2
2021/1/14,-1,-1,-1,-1,-1,0,-2,1,-1,0
2021/1/15,-2,-2,-2,-2,-2,-2,1,1,-1,0
2021/1/16,1,1,1,1,1,1,0,-2,-2,1
2021/1/17,1,1,1,1,1,1,0,-2,-2,-2
2021/1/18,2,2,2,2,2,2,0,1,2,-1
2021/1/19,2,2,2,2,2,2,0,2,1,0
2021/1/20,2,2,2,2,2,0,0,1,1,0
2021/1/21,2,2,2,2,2,2,2,1,1,0
2021/1/22,1,1,1,1,1,1,1,1,1,1
2021/1/23,-2,-2,-2,-2,-2,-1,-1,1,0,0
2021/1/24,0,0,0,0,0,1,-1,1,0,-2
2021/1/25,2,2,2,2,2,1,1,1,1,1
2021/1/26,2,2,2,2,2,2,1,1,1,1
2021/1/27,1,1,1,1,1,1,1,2,2,1
2021/1/28,-2,-2,-2,-2,-2,0,1,1,1,1
2021/1/29,1,1,1,1,1,1,1,1,0,2
2021/1/30,0,0,0,0,0,1,2,1,1,2
2021/1/31,2,2,2,2,2,2,2,1,1,2
2021/2/1,1,1,1,1,1,1,1,-1,1,2
2021/2/2,1,1,1,1,1,1,1,1,1,1
2021/2/3,0,0,0,0,0,0,0,1,1,-2
2021/2/4,1,1,1,1,1,2,1,0,2,-1
2021/2/5,1,1,1,1,1,1,1,0,1,0
2021/2/6,1,1,1,1,1,1,1,0,-1,0
2021/2/7,1,1,1,1,1,1,1,0,-1,1
2021/2/8,1,1,1,1,1,1,1,1,-1,0
2021/2/9,1,1,1,1,1,2,2,0,0,0
2021/2/10,1,1,1,1,1,1,1,-1,1,1
2021/2/11,2,2,2,2,2,1,1,-1,1,1
2021/2/12,1,1,1,1,1,1,1,0,1,1
2021/2/13,1,1,1,1,1,0,1,1,1,1
2021/2/14,0,0,0,0,0,0,1,0,0,1
2021/2/15,-2,-2,-2,-2,-2,-2,-1,1,-1,1
2021/2/16,0,0,0,0,0,0,-2,1,1,2
2021/2/17,0,0,0,0,0,-2,-1,1,0,1
2021/2/18,0,0,0,0,0,-1,1,1,-2,-2
2021/2/19,-1,-1,-1,-1,-1,-1,-2,0,-2,-2
2021/2/20,0,0,0,0,0,0,-2,-1,-2,-2
2021/2/21,0,0,0,0,0,0,-2,1,-2,-1
2021/2/22,1,1,1,1,1,1,-1,1,0,-2
2021/2/23,-2,-2,-2,-2,-2,-1,0,1,1,-2
2021/2/24,0,0,0,0,0,0,1,0,1,1
2021/2/25,0,0,0,0,0,0,-1,-1,-2,-2
2021/2/26,1,1,1,1,1,0,1,1,0,-1
2021/2/27,-2,-2,-2,-2,-2,-2,0,1,0,1
2021/2/28,-1,-1,-1,-1,-1,-1,0,2,1,1
2021/3/1,0,0,0,0,0,0,0,0,-1,1
2021/3/2,0,0,0,0,0,0,0,0,-2,0
2021/3/3,-1,-1,-1,-1,-1,0,-1,1,-2,0
2021/3/4,-1,-1,-1,-1,-1,-1,-1,0,0,-2
2021/3/5,0,0,0,0,0,0,0,-1,-1,0
2021/3/6,-1,-1,-1,-1,-1,0,-1,1,-1,-2
2021/3/7,1,1,1,1,1,0,-2,1,0,-2
2021/3/8,0,0,0,0,0,0,-1,1,0,-2
2021/3/9,-1,-1,-1,-1,-1,-2,-1,-1,-2,-1
2021/3/10,0,0,0,0,0,0,-2,-1,-1,-2
2021/3/11,0,0,0,0,0,-1,-2,1,-1,-2
2021/3/12,-1,-1,-1,-1,-1,-2,-1,0,0,-2
2021/3/13,-1,-1,-1,-1,-1,-1,-1,1,-2,0
2021/3/14,-1,-1,-1,-1,-1,-2,-2,1,0,-2
2021/3/15,1,1,1,1,1,1,1,-2,0,1
2021/3/16,-1,-1,-1,-1,-1,-1,1,0,-1,1
2021/3/17,-1,-1,-1,-1,-1,-1,-1,1,-2,0
2021/3/18,1,1,1,1,1,1,0,-1,1,-2
2021/3/19,-2,-2,-2,-2,-2,-2,0,0,0,1
2021/3/20,-1,-1,-1,-1,-1,-1,-2,0,0,-2
2021/3/21,0,0,0,0,0,0,-1,-1,0,0
2021/3/22,0,0,0,0,0,0,-1,-1,-1,-2
2021/3/23,0,0,0,0,0,1,0,1,1,0
2021/3/24,0,0,0,0,0,0,2,1,0,1
2021/3/25,-2,-2,-2,-2,-2,-2,1,1,0,2
2021/3/26,1,1,1,1,1,0,1,1,1,1
2021/3/27,-1,-1,-1,-1,-1,0,1,2,2,1
2021/3/28,-1,-1,-1,-1,-1,-1,0,0,0,0
2021/3/29,0,0,0,0,0,0,-2,0,0,-2
2021/3/30,1,1,1,1,1,1,1,0,1,-1
2021/3/31,1,1,1,1,1,1,1,-1,0,1
2021/4/1,1,1,1,1,1,1,1,0,1,1
2021/4/2,-1,-1,-1,-1,-1,0,0,1,0,-1
2021/4/3,-1,-1,-1,-1,-1,-1,-1,0,1,-1
2021/4/4,-2,-2,-2,-2,-2,-1,-1,1,1,-1
2021/4/5,-1,-1,-1,-1,-1,0,-1,0,0,-2
2021/4/6,0,0,0,0,0,0,-1,1,1,-1
2021/4/7,1,1,1,1,1,1,1,1,1,0
2021/4/8,1,1,1,1,1,1,1,0,1,1
2021/4/9,1,1,1,1,1,1,2,1,1,2
2021/4/10,-2,-2,-2,-2,-2,-1,1,0,1,0
2021/4/11,1,1,1,1,1,0,1,0,0,1
2021/4/12,1,1,1,1,1,1,1,1,2,1
2021/4/13,1,1,1,1,1,1,1,0,1,0
2021/4/14,1,1,1,1,1,0,1,1,0,1
2021/4/15,1,1,1,1,1,1,-1,-1,0,0
2021/4/16,1,1,1,1,1,0,0,2,1,1
2021/4/17,1,1,1,1,1,1,0,2,2,0
2021/4/18,1,1,1,1,1,1,1,1,2,1
